Fase,Gate,Passo,Responsável,Duração Estimada,Entregável,Descrição,Skills,Agents,Descrição Skill
-,🚪 Gate 0: Kickoff,Definir governança do projeto (3 papéis cliente + 3 papéis Atomica),Decisor + Atomica,1 reunião,Matriz de governança,"Definir quem é quem: Campeão = Product Owner (validar requisitos, testes de aceitação), Decisor = Steering Committee (aprovar gates e mudanças de escopo), Guardião = Security Reviewer (aprovar arquitetura e segurança). Do lado Atomica: Engagement Lead (relacionamento), Tech Lead (arquitetura/código), Delivery Manager (cronograma/riscos).","✅ docx, ✅ business-manager",,"Criação e edição de documentos Word | Gestão: OKRs, operações, decisões, scaling"
-,🚪 Gate 0: Kickoff,Aprovação formal do escopo preliminar,Decisor,1 reunião,Escopo aprovado,O Decisor (CEO/CFO/Founder) assina ou confirma formalmente o escopo preliminar. Este documento é a base contratual do projeto. Mudanças de escopo posteriores passam por este mesmo Decisor.,✅ docx,,Criação e edição de documentos Word
"Fase 1: Arquitetura, SDD & Planejamento",-,"Importar diretrizes e contexto necessários (SOPs, planos, apresentações)",Tech Lead,3-7 dias,Contexto documentado,"Coletar e organizar todo material do cliente relevante ao projeto: Standard Operating Procedures existentes, planos estratégicos, apresentações institucionais, manuais de processos, organogramas. Esse contexto alimenta o PRD e as especificações. Centralizar na pasta directives/ do projeto.","✅ obsidian-vault, ✅ docx",,"Gere conhecimento no Obsidian (notas, wikilinks) | Criação e edição de documentos Word"
"Fase 1: Arquitetura, SDD & Planejamento",-,Spec-Driven Development: escrever especificações orientadas a cenários,PRD Engineer,3-7 dias,Especificações SDD,"Para cada funcionalidade identificada no escopo, escrever especificações no formato de cenários: 'Dado que [contexto], Quando [ação], Então [resultado esperado]'. Cobrir também cenários de erro: 'Dado que [falha], Quando [ação], Então [comportamento esperado]'. Este documento guia todo o desenvolvimento e QA.","✅ prd-creator, ✅ writing-plans",,Cria Product Requirements Documents otimizados para agentes IA | Escreve planos de implementação multi-step
"Fase 1: Arquitetura, SDD & Planejamento",-,Criar PRD Agentive (via PRD Engineer + entrevista),PRD Engineer,3-7 dias,PRD.md,"Conduzir entrevista estruturada em múltiplas levas (6 levas: problema, escopo, fluxos, edge cases, RNFs, priorização) usando a skill prd-creator. Gerar PRD final no formato Agentive PRD — otimizado para consumo por agentes de IA, com glossário, regras de negócio, critérios de aceitação BDD e edge cases documentados.","✅ prd-creator, ✅ writing-plans, ✅ grill-me",🤖 agent:prd-engineer,Cria Product Requirements Documents otimizados para agentes IA | Escreve planos de implementação multi-step | Stress-test de planos e designs via entrevista estruturada | Agente especializado em criar PRDs Agentive multi-leva
"Fase 1: Arquitetura, SDD & Planejamento",-,Criar Boneco UI/UX (via UI/UX Designer),UI/UX Designer,3-7 dias,Wireframes e protótipos,Desenhar wireframes e protótipos de alta fidelidade para a interface do sistema.,"✅ frontend-design, ✅ design-an-interface",,Cria interfaces web de alta qualidade (React/Next.js) | Explora e compara designs de API/módulo
"Fase 1: Arquitetura, SDD & Planejamento",-,"Definir arquitetura de referência (API-first, orquestração, MCP, vetores)",Tech Lead,3-7 dias,Documento de Arquitetura,"Desenhar a arquitetura técnica do sistema: APIs (REST/GraphQL), camada de orquestração de agentes, protocolo MCP para ferramentas, bancos vetoriais para RAG (se necessário), conectores para dados não estruturados, fluxo de dados entre componentes. Documentar decisões arquiteturais com justificativas.","✅ mcp-builder, ✅ architecting-mcp-systems, ✅ ai-engineer",,"Cria servidores MCP (Model Context Protocol) em Python/TS | Arquitetura de sistemas MCP multi-agente | Design de sistemas IA: LLMs, RAG, agentes, arquitetura"
"Fase 1: Arquitetura, SDD & Planejamento",-,"Decidir stack final (Atomica: n8n, Python, Next.js, Supabase, Easypanel, Docker / ou stack do cliente)",Tech Lead,3-7 dias,Stack Definition,"Confirmar a stack definitiva: se o cliente não tem stack, usar Atomica padrão. Se tem stack própria, mapear versões, compatibilidade e licenças. Documentar cada tecnologia com sua versão e propósito no projeto.",✅ business-analyst,,"Análise de negócios: requisitos, processos, stakeholders, gap analysis"
"Fase 1: Arquitetura, SDD & Planejamento",-,Criar agentes do projeto (.agents/agents) via System Prompt Engineer,System Prompt Engineer,3-7 dias,Agentes configurados,"Usar a skill system-prompt-creator para criar agentes de IA específicos do projeto em .agents/agents/. Cada agente recebe system prompt, ferramentas, skills e contexto necessários. Definir quais modelos cada agente usa (Large/Medium/Small via LLM Routing).","✅ system-prompt-creator, ✅ routing-llms",🤖 agent:system-prompt-engineer,Cria system prompts modulares para agentes de IA | Roteamento dinâmico de LLMs por custo/qualidade/latência | Agente para criar system prompts de agentes IA
"Fase 1: Arquitetura, SDD & Planejamento",-,Checklist de compliance (LGPD + boas práticas IA),Tech Lead,3-7 dias,Checklist Compliance,"Preencher checklist de conformidade: LGPD (onde os dados são armazenados? há consentimento? direito ao esquecimento?), boas práticas de IA (transparência, explicabilidade, viés, supervisão humana), regulatório aplicável (EU AI Act se cliente tiver operação na Europa).",✅ security-audit-lgpd,,"Auditoria de segurança, compliance LGPD, modelagem de ameaças"
"Fase 1: Arquitetura, SDD & Planejamento",-,"Modelagem de ameaças (Zero Trust, privilégio mínimo)",Tech Lead,3-7 dias,Threat Model,Mapear superfície de ataque do sistema: quais endpoints estão expostos? quais dados sensíveis trafegam? quem tem acesso a quê? Aplicar princípios Zero Trust (nada é confiável por padrão) e privilégio mínimo (cada componente acessa apenas o estritamente necessário). Documentar ameaças e mitigações.,✅ security-audit-lgpd,,"Auditoria de segurança, compliance LGPD, modelagem de ameaças"
"Fase 1: Arquitetura, SDD & Planejamento",-,Gerar SBOM inicial,Tech Lead,3-7 dias,SBOM v1,"Gerar Software Bill of Materials listando todas as dependências, bibliotecas, frameworks e serviços de terceiros que o projeto utilizará. Incluir versões e licenças. Este documento será atualizado ao longo do projeto e entregue na versão final ao cliente.",✅ sbom-generator,,Gera Software Bill of Materials (SPDX/CycloneDX)
"Fase 1: Arquitetura, SDD & Planejamento",-,"Setup do projeto: clonar projeto-modelo-main, renomear, abrir na IDE",Tech Lead,3-7 dias,Projeto inicializado,"Inicializar o repositório: clonar o template projeto-modelo-main, renomear a pasta com o nome do projeto do cliente, abrir na IDE (VS Code / Cursor). Verificar que a estrutura base está correta (.agents/, directives/, executions/, tmp/, .env, .gitignore, README.md).",✅ using-git-worktrees,,Isola features em git worktrees
"Fase 1: Arquitetura, SDD & Planejamento",-,"Configurar Supabase (novas bases de dados, CLI)",Tech Lead,3-7 dias,Banco configurado,"Criar projeto no Supabase, configurar banco de dados PostgreSQL, executar migrações iniciais, configurar Row Level Security (RLS), instalar e autenticar Supabase CLI. Criar bases de dados separadas para dev/staging/prod conforme necessidade.",✅ supabase-expert,,"Supabase/PostgreSQL: RLS, migrações, triggers, integração"
"Fase 1: Arquitetura, SDD & Planejamento",-,"Preencher .env, ajustar .agents.md, token API",Tech Lead,3-7 dias,Ambiente pronto,"Preencher variáveis de ambiente no .env (API keys, URLs de serviços, tokens). Ajustar o .agents.md com o contexto do projeto (descrição, stack, agentes ativos). Configurar tokens de API necessários (OpenAI, Anthropic, DeepSeek, etc.). Validar que o ambiente está funcional.",,,
"Fase 1: Arquitetura, SDD & Planejamento",-,"Definir RNFs baseline (latência, uptime, backup, segurança, logs, observabilidade)",Tech Lead,3-7 dias,RNFs documentados,"Documentar os Requisitos Não-Funcionais do projeto usando o baseline Atomica como ponto de partida: latência <2s p95, uptime 99%, backup diário, HTTPS + secrets + rate limiting + OWASP, logs estruturados, observabilidade (tracing + alertas + health check). Ajustar conforme criticidade do projeto.",✅ rnfs-baseline,,"Baseline de requisitos não-funcionais: latência, uptime, segurança"
-,🚪 Gate 1: Arquitetura,Aprovação da stack e arquitetura,Guardião (CISO) + Tech Lead,1 reunião,Arquitetura aprovada,"O Guardião (CISO/TI do cliente) avalia e aprova a stack tecnológica e a arquitetura proposta. Verificar compatibilidade com infraestrutura existente do cliente, políticas de segurança internas e requisitos de compliance.","✅ pptx, ✅ architecting-mcp-systems",,Criação de apresentações PowerPoint e pitch decks | Arquitetura de sistemas MCP multi-agente
-,🚪 Gate 1: Arquitetura,Validação de segurança e compliance,Guardião (CISO),1 reunião,Checklist compliance aprovado,"O Guardião revisa o checklist de compliance (LGPD, boas práticas IA) e a modelagem de ameaças. Aprova ou solicita ajustes. Segurança deve estar validada antes de qualquer código ser escrito.",✅ security-audit-lgpd,,"Auditoria de segurança, compliance LGPD, modelagem de ameaças"
-,🚪 Gate 1: Arquitetura,Sign-off do SBOM inicial,Guardião (CISO),1 reunião,SBOM aprovado,O Guardião aprova a lista de componentes de software. Nenhuma dependência entra no projeto sem aprovação. Isso evita problemas de licenciamento e vulnerabilidades conhecidas.,✅ sbom-generator,,Gera Software Bill of Materials (SPDX/CycloneDX)
Fase 2: Skills & Base de Conhecimento,-,"Executar Deep Research por competência (Gemini, Kimi, ChatGPT)",Deep Research Engineer,2-5 dias,Pesquisa documentada,"Para cada competência necessária no projeto (ex: 'vendas B2B', 'LinkedIn outreach', 'análise de mercado'), executar pesquisa profunda usando agentes de Deep Research. Ferramentas: Gemini Deep Research, Kimi, ChatGPT Deep Research. Salvar resultados na pasta da skill correspondente.",✅ deep-research-prompt-creator,🤖 agent:deep-research-prompt-engineer,Cria prompts para Deep Research multi-fonte | Agente de engenharia de prompts para Deep Research
Fase 2: Skills & Base de Conhecimento,-,Listar todas as competências e habilidades necessárias para o projeto,Engagement Lead + Tech Lead,2-5 dias,Lista de competências,"Catalogar todas as competências que o sistema precisará dominar. Exemplos: conhecimento de CRM Salesforce, técnicas de cold email, análise de sentimento, scraping de LinkedIn, geração de relatórios financeiros. Cada competência vira uma skill.","✅ skill-finder, ✅ business-analyst",,"Descobre e instala skills do ecossistema | Análise de negócios: requisitos, processos, stakeholders, gap analysis"
Fase 2: Skills & Base de Conhecimento,-,Criar pasta da skill em .agents/skills/,Skill Engineer,2-5 dias,Pasta da skill,"Para cada competência listada, criar uma pasta em .agents/skills/ com o nome da skill (ex: linkedin-dm-outreach). Estrutura base: skill.md (instruções), references/ (conhecimento de referência), evals/ (testes de qualidade da skill).","✅ skill-creator, ✅ write-a-skill",🤖 agent:skill-engineer,"Cria, melhora e mede performance de skills | Escreve skills com estrutura progressiva e referências | Agente especializado em criar e estruturar skills"
Fase 2: Skills & Base de Conhecimento,-,"Transformar bases de conhecimento em skill (skill.md, references, evals)",Skill Engineer,2-5 dias,Skill completa,"Preencher cada skill com: skill.md (descrição, quando usar, instruções passo a passo), references/ (documentos, playbooks, dados de pesquisa), evals/ (cenários de teste para validar que a skill funciona). Usar o resultado do Deep Research como insumo principal.","✅ skill-creator, ✅ write-a-skill",🤖 agent:skill-engineer,"Cria, melhora e mede performance de skills | Escreve skills com estrutura progressiva e referências | Agente especializado em criar e estruturar skills"
Fase 2: Skills & Base de Conhecimento,-,Configurar LLM Routing (Large/Medium/Small),Tech Lead,2-5 dias,Routing configurado,"Definir regras de roteamento de prompts: tarefas complexas (raciocínio, arquitetura, decisões) → modelos Large (GPT-5.4, GLM-5, Kimi K2.5); tarefas médias (geração de código, análise) → modelos Medium (DeepSeek V3.2, GPT-5.4 nano); tarefas simples (classificação, extração) → modelos Small (GPT-5 nano, Qwen3.5 35B).",✅ routing-llms,,Roteamento dinâmico de LLMs por custo/qualidade/latência
Fase 3: Desenvolvimento MVP,-,Desenvolvimento orientado a testes (TDD onde couber),Tech Lead,1-16 semanas,Código com testes,Escrever testes antes do código de produção sempre que aplicável. Foco em testes de integração nos fluxos principais (não exigir 80% coverage para scripts simples). Cada funcionalidade do SDD tem pelo menos um teste de aceitação automatizado.,✅ test-driven-development,🤖 agent:code-reviewer,Desenvolvimento orientado a testes (TDD) | Agente de revisão de código automatizada
Fase 3: Desenvolvimento MVP,-,"CI/CD contínuo (commits frequentes, GitHub Actions para lint/test/build)",Tech Lead,1-16 semanas,Pipeline CI/CD,"Configurar GitHub Actions para executar automaticamente em cada commit: lint (verificação de estilo), testes automatizados, build de verificação. Commits pequenos e frequentes. A pipeline não pode ser quebrada — se quebrar, corrigir antes de continuar.",✅ cicd-pipeline-github-actions,,Pipeline CI/CD com GitHub Actions (lint→test→build→deploy)
Fase 3: Desenvolvimento MVP,-,Dogfooding condicional (usar internamente se aplicável),Atomica,1-16 semanas,Feedback interno,"Se o sistema construído for similar a algo que a Atomica já usa ou pode usar nos próprios processos (ex: agente de follow-up, dashboard de métricas, automação de relatórios), implantar internamente primeiro. Usar por pelo menos 1 semana antes de mostrar ao cliente. Documentar feedback.","✅ qa, ✅ dogfooding-process",,Sessões interativas de QA e bug reports | Processo de uso interno antes de entregar ao cliente
Fase 3: Desenvolvimento MVP,-,Desenvolvimento iterativo baseado no PRD e SDD,Tech Lead,1-16 semanas,Sistema funcional,"Desenvolver em iterações curtas (1-2 semanas), priorizando as funcionalidades do PRD por valor (MoSCoW: Must have, Should have, Could have, Won't have). Cada iteração entrega algo funcional e testável. Revisar progresso contra o SDD semanalmente.","✅ executing-plans, ✅ subagent-driven-development, ✅ dispatching-parallel-agents, ✅ writing-plans",,Executa planos de implementação em sessão separada | Desenvolvimento com delegação para sub-agentes | Despacha agentes em paralelo para tarefas independentes | Escreve planos de implementação multi-step
Fase 3: Desenvolvimento MVP,-,Construir interface frontend (Next.js),Tech Lead,1-16 semanas,Interface web,"Desenvolver interface web usando Next.js. Aplicar princípios de UI/UX: mobile-first, acessibilidade WCAG 2.1 AA (se usuários finais), componentes reutilizáveis. Integrar com APIs e automações do backend. Interface deve refletir o design system e tom de voz do cliente.","✅ frontend-design, ✅ design-an-interface",,Cria interfaces web de alta qualidade (React/Next.js) | Explora e compara designs de API/módulo
Fase 3: Desenvolvimento MVP,-,Construir automações (Python / n8n),Tech Lead,1-16 semanas,Automações,"Implementar fluxos de automação: Python para scripts customizados e integrações complexas, n8n para workflows visuais e conectores padrão. Documentar cada fluxo: gatilho, processamento, saída, tratamento de erros. Automações devem ter logs estruturados e health checks.","✅ n8n-automation-builder, ✅ automation-code-expert",,Constrói fluxos de automação n8n com tratamento de erros | Código Python/JS para nodes customizados do n8n
Fase 3: Desenvolvimento MVP,-,Sistema MVP disponível em /executions,Tech Lead,1-16 semanas,MVP em /executions,O MVP (Minimum Viable Product) funcional deve estar rodando em /executions. Deve cobrir as funcionalidades Must have do PRD. O MVP não é o produto final — é o mínimo que já entrega valor mensurável ao cliente e pode ser validado.,✅ verification-before-completion,,Verifica builds/testes antes de declarar concluído
Fase 4: QA & Validação,-,Teste de estresse com IA,Tech Lead,3-7 dias,Relatório de estresse,"Submeter o sistema a cenários de carga e edge cases usando agentes de IA para simular uso intenso: múltiplos usuários simultâneos, volume extremo de dados (ex: upload de 10k registros, lista com 1M de itens), cenários de race condition (duplo clique, submit duplicado). Documentar limites encontrados.",✅ ai-stress-testing,,"Teste de estresse com IA: carga, edge cases, race conditions"
Fase 4: QA & Validação,-,Simulações de uso manual humana,Engagement Lead,3-7 dias,Relatório de uso,"Testar o sistema manualmente simulando o fluxo real do usuário final: um sócio da Atomica executa as tarefas do dia a dia que o sistema deve realizar. Anotar pontos de fricção, confusão de interface, fluxos quebrados, mensagens de erro inadequadas.",✅ qa,,Sessões interativas de QA e bug reports
Fase 4: QA & Validação,-,"QA AI: Evals, testes e validações",Tech Lead,3-7 dias,Relatório de QA,"Executar bateria de evals automatizados: testes de regressão, validação de outputs de IA (precisão, formato, ausência de alucinação), verificação de regras de negócio. Usar LLM como Juiz (avaliação por rubrica) para outputs de agentes. Documentar scores.",✅ ai-evals,,Avaliação de outputs IA com LLM-as-Judge e rubricas
Fase 4: QA & Validação,-,Verificação cruzada com modelo alternativo,Tech Lead,3-7 dias,Relatório cruzado,"Testar os mesmos cenários com um modelo de IA diferente do usado em produção (ex: se producao usa GPT-5.4, testar com DeepSeek V3.2). Comparar resultados para detectar viés ou dependência excessiva de um modelo específico. Documentar divergências.",✅ cross-model-verification,,Verificação cruzada entre modelos IA para detectar viés
Fase 4: QA & Validação,-,Ajustes e correções pós-QA,Tech Lead,3-7 dias,Bugs corrigidos,Corrigir bugs e issues encontrados nas etapas anteriores. Priorizar: críticos (sistema quebra ou perde dados) > altos (funcionalidade principal comprometida) > médios (edge case) > baixos (cosmético). Re-executar testes após correções.,"✅ systematic-debugging, ✅ receiving-code-review",🤖 agent:code-reviewer,Debugging sistemático com recolha de logs | Processa e aplica feedback de code review | Agente de revisão de código automatizada
-,🚪 Gate 2: MVP,Teste de aceitação funcional,Campeão (Product Owner),1 reunião,MVP aprovado,"O Campeão (Product Owner do cliente) testa o sistema em ambiente controlado, seguindo os cenários do SDD. Valida que as funcionalidades Must have entregam o valor esperado. Aprova ou solicita ajustes pontuais antes do deploy.","✅ verification-before-completion, ✅ qa",,Verifica builds/testes antes de declarar concluído | Sessões interativas de QA e bug reports
-,🚪 Gate 2: MVP,Validação contra baseline de diagnóstico,Campeão + Engagement Lead,1 reunião,Métrica baseline comparada,"Comparar a métrica definida no diagnóstico com o resultado do MVP. Ex: 'No diagnóstico, o follow-up levava 15h/semana. Com o MVP, estamos em 3h/semana. A meta era 2h — precisamos otimizar X.' Documentar o gap e plano para fechá-lo.","✅ xlsx, ✅ business-analyst",,"Manipulação de ficheiros Excel e dados tabulares | Análise de negócios: requisitos, processos, stakeholders, gap analysis"
"Fase 5: Segurança, Deploy & Onboarding",-,Review de segurança cibernética,Tech Lead,3-5 dias,Relatório de segurança,"Executar análise completa de segurança: scan de vulnerabilidades em dependências (npm audit, pip audit), verificação de OWASP Top 10 (XSS, SQL injection, CSRF, etc.), teste de penetração básico, revisão de secrets e variáveis de ambiente. Corrigir achados críticos.",✅ security-audit-lgpd,,"Auditoria de segurança, compliance LGPD, modelagem de ameaças"
"Fase 5: Segurança, Deploy & Onboarding",-,Ajustar políticas de segurança de dados,Tech Lead,3-5 dias,Políticas configuradas,"Configurar políticas finais de segurança: CORS, rate limiting, headers de segurança (HSTS, CSP), criptografia em trânsito (HTTPS) e em repouso, policies de retenção de dados, logs de acesso. Validar conformidade com LGPD.",✅ security-audit-lgpd,,"Auditoria de segurança, compliance LGPD, modelagem de ameaças"
"Fase 5: Segurança, Deploy & Onboarding",-,Gerar SBOM final,Tech Lead,3-5 dias,SBOM final,"Atualizar o SBOM com a lista definitiva de todas as dependências, versões exatas e licenças do projeto em produção. Incluir dependências transitivas. Este documento é entregue ao Guardião do cliente como parte da documentação.",✅ sbom-generator,,Gera Software Bill of Materials (SPDX/CycloneDX)
"Fase 5: Segurança, Deploy & Onboarding",-,"Criar repositório GitHub (privado, chaves secretas, commit)",Tech Lead,3-5 dias,Repo GitHub,Criar repositório privado no GitHub. Configurar GitHub Secrets com variáveis sensíveis (nunca commitar secrets no código). Fazer commit final do código documentado e limpo. Conceder acesso ao cliente conforme contrato.,,,
"Fase 5: Segurança, Deploy & Onboarding",-,Configurar pipeline CI/CD (GitHub Actions / Easypanel auto-deploy),Tech Lead,3-5 dias,CI/CD ativo,"Configurar pipeline completa: GitHub Actions para CI (lint, test, build) + Easypanel para CD (deploy automático ao detectar novo commit na branch principal). Validar que a pipeline executa sem erros e que o deploy automático funciona.","✅ cicd-pipeline-github-actions, ✅ easypanel-deploy",,Pipeline CI/CD com GitHub Actions (lint→test→build→deploy) | Deploy no Easypanel com auto-deploy e health checks
"Fase 5: Segurança, Deploy & Onboarding",-,Deploy Easypanel: criar serviço com auto-deploy,Tech Lead,3-5 dias,Serviço em produção,"Criar serviço no Easypanel apontando para o repositório GitHub. Configurar variáveis de ambiente, health checks, escala. O auto-deploy deve disparar automaticamente em novos commits na branch principal. Validar que o serviço sobe e responde.",✅ easypanel-deploy,,Deploy no Easypanel com auto-deploy e health checks
"Fase 5: Segurança, Deploy & Onboarding",-,"Deploy Hostinger: definir URL, configurar DNS, páginas e triggers",Tech Lead,3-5 dias,DNS e páginas no ar,"Configurar DNS no Hostinger para apontar para o serviço no Easypanel. Definir a URL de produção do projeto. Configurar redirecionamentos, SSL, e triggers se necessário. Validar que a URL está acessível e com HTTPS.",✅ hostinger-dns,,"Configura DNS, SSL e domínios no Hostinger"
"Fase 5: Segurança, Deploy & Onboarding",-,"Configurar observabilidade (logs, tracing, alertas, health check)",Tech Lead,3-5 dias,Observabilidade ativa,"Configurar stack de observabilidade: logs estruturados com níveis (info, warn, error), tracing de execução para agentes e automações, alertas em falha crítica (ex: agente parou de responder), health check endpoint para monitoramento. Dashboard mínimo de status.","✅ error-tracking, ✅ observabilidade-stack-atomica",,"Stack de observabilidade: logs, tracing, alertas, health checks | Tracking de erros com Sentry para monitoramento"
"Fase 5: Segurança, Deploy & Onboarding",-,Treinamento do cliente,Engagement Lead,3-5 dias,Cliente treinado,"Conduzir sessão de onboarding com os usuários do cliente: apresentar o sistema, demonstrar fluxos principais, entregar documentação de uso, esclarecer dúvidas. Garantir que o Campeão sabe operar e treinar sua equipe. Deixar canal de suporte para dúvidas iniciais.","✅ pptx, ✅ docx, ✅ client-onboarding-training",,Criação de apresentações PowerPoint e pitch decks | Criação e edição de documentos Word | Onboarding e treinamento de clientes no sistema
-,🚪 Gate 3: Entrega Final,Sign-off final do projeto,Decisor (CEO/CFO),1 reunião,Projeto aceito,O Decisor formaliza a aceitação do projeto. Validar que o escopo contratado foi entregue e que a métrica de sucesso foi atingida (ou está em trajetória de atingimento). Formalizar encerramento contratual.,"✅ docx, ✅ handoff",,Criação e edição de documentos Word | Compacta contexto da conversa para handoff entre agentes
-,🚪 Gate 3: Entrega Final,Validação final de segurança,Guardião (CISO),1 reunião,Security sign-off,"O Guardião conduz a validação final de segurança: revisa relatório de vulnerabilidades, SBOM, políticas configuradas, conformidade LGPD. Dá o aval de que o sistema está seguro para produção.",✅ security-audit-lgpd,,"Auditoria de segurança, compliance LGPD, modelagem de ameaças"
-,🚪 Gate 3: Entrega Final,"Entrega de documentação completa (README, PRD, SBOM)",Delivery Manager,1 reunião,Documentação entregue,"Entregar ao cliente toda documentação do projeto: README (guia de uso e manutenção), PRD (requisitos e funcionalidades), SDD (especificações), SBOM (componentes), Documento de Arquitetura, Checklist de Compliance. Tudo versionado e acessível.","✅ docx, ✅ pptx, ✅ xlsx, ✅ sbom-generator",,Criação e edição de documentos Word | Criação de apresentações PowerPoint e pitch decks | Manipulação de ficheiros Excel e dados tabulares | Gera Software Bill of Materials (SPDX/CycloneDX)
Fase 6: Retrospectiva & Melhoria Contínua,-,Retrospectiva interna documentada (3 sócios),Atomica,2-3 dias,Documento de retrospectiva,Reunião dos 3 sócios (1-2h) para analisar o projeto: O que funcionou bem? O que podemos melhorar? O cliente ficou satisfeito? A margem foi saudável? O prazo foi realista? As skills criadas funcionaram? Documentar aprendizados.,"✅ grill-me, ✅ brainstorming, ✅ docx",,Stress-test de planos e designs via entrevista estruturada | Explora intenções e requisitos antes de implementar | Criação e edição de documentos Word
